영업소코드,영업소명,고속도로운영기관구분코드,TCS노선번호,TCS본부코드,TCS지사코드,영업형태구분코드,영업방식구분코드,전화번호,가동영업소여부,입구차로수,출구차로수,가변차로수,민자마지막IC여부,가상영업소여부
860,북중랑,44,000,954,904400,0,2,,Y,0,0,0,N,N
861,갈매동구릉,44,000,954,904400,0,2,070-4220-6490,Y,0,0,0,N,N
862,남별내,44,000,954,904400,0,2,070-4173-7383,Y,0,0,0,N,N
863,동의정부,44,000,954,904400,0,2,070-4220-6524,Y,0,0,0,N,N
864,민락,44,000,954,904400,0,2,070-4220-6549,Y,0,0,0,N,N
865,소흘,44,000,954,904400,0,2,070-4220-6530,Y,0,0,0,N,N
866,선단,44,000,954,904400,0,2,070-4220-6569,Y,0,0,0,N,N
867,포천,44,000,954,904400,0,2,070-4220-6573,Y,0,0,0,N,N
869,신북,44,000,954,904400,0,2,070-4220-6583,Y,0,0,0,N,N
870,옥정,44,000,954,904400,0,2,070-4220-6590,Y,0,0,0,N,N
879,양주,44,000,954,904400,0,2,070-4220-6590,Y,0,0,0,N,N
886,청라원창,35,000,911,903500,0,2,032-292-7236,Y,0,0,0,N,N
887,남청라,35,000,911,903500,0,2,032-292-7150,Y,0,0,0,N,N
889,북청라,35,000,911,903500,0,2,032-292-7249,Y,0,0,0,N,N
890,검단양촌,35,000,911,903500,0,2,032-292-7198,Y,0,0,0,N,N
891,대곶,35,000,911,903500,0,2,032-292-7211,Y,0,0,0,N,N
892,서김포통진,35,000,911,903500,0,2,032-292-7224,Y,0,0,0,N,N
950,만남의광장(서울),30,000,940,903000,1,2,,Y,1,1,0,N,N
065,판교,00,001,901,210300,1,2,031-703-2504,Y,9,9,0,N,N
069,대왕판교,00,001,901,210300,1,2,031-8017-2505,Y,3,3,0,N,N
101,서울,00,001,901,210300,0,2,031-718-2504,Y,13,38,0,N,N
103,수원신갈,00,001,901,210300,0,2,031-282-2504,Y,7,16,0,N,N
105,기흥,00,001,901,210300,0,2,031-286-2269,Y,3,11,0,N,N
106,오산,00,001,901,210300,0,2,031-374-2277,Y,4,9,0,N,N
107,안성,00,001,903,410100,0,2,031-656-1129,Y,4,9,0,N,N
108,천안,00,001,903,410100,0,2,041-564-2504,Y,5,10,0,N,N
110,목천,00,001,903,410100,0,2,041-555-2093,Y,3,5,0,N,N
111,청주,00,001,903,410100,0,2,043-232-2281,Y,2,5,0,N,N
112,남청주,00,001,903,410200,0,2,043-277-2504,Y,3,5,0,N,N
113,신탄진,00,001,903,410200,0,2,042- 931-2504,Y,3,4,0,N,N
115,대전,00,001,903,410200,0,2,042-636-2504,Y,7,16,0,N,N
116,옥천,00,001,903,410500,0,2,043-733-2540,Y,2,4,0,N,N
117,금강,00,001,903,410500,0,2,043- 732-3274,Y,1,1,0,N,N
118,영동,00,001,903,410500,0,2,043-742-9094,Y,1,2,0,N,N
120,황간,00,001,903,410500,0,2,043-744-2504,Y,1,2,0,N,N
121,추풍령,00,001,905,610100,0,2,054-439-8800,Y,2,2,0,N,N
122,김천,00,001,905,610100,0,2,054- 436-8800,Y,2,4,0,N,N
123,구미,00,001,905,610100,0,2,054- 462-8800,Y,3,6,0,N,N
125,남구미,00,001,905,610100,0,2,(054- 464-8800,Y,4,7,0,N,N
126,왜관,00,001,905,610100,0,2,054- 971-8800,Y,3,6,0,N,N
127,서대구,00,001,905,610400,0,2,053-563-8800,Y,9,17,0,N,N
129,북대구,00,001,905,610200,0,2,053-951-2435,Y,5,15,1,N,N
130,동김천,00,001,905,610100,0,2,054-432-8801,Y,2,4,0,N,N
131,경산,00,001,905,610200,0,2,(053-854-8800,Y,4,7,0,N,N
132,영천,00,001,905,610200,0,2,054- 336-8800,Y,4,11,0,N,N
133,건천,00,001,905,610200,0,2,(054-751-8800,Y,1,3,0,N,N
135,경주,00,001,905,610200,0,2,054-741-8800,Y,5,15,0,N,N
137,통도사,00,001,906,710900,0,2,055-382-6207,Y,2,4,0,N,N
138,양산,00,001,906,710900,0,2,055-374-3725,Y,3,7,0,N,N
139,서울산,00,001,906,710900,0,2,052-262-2999,Y,3,6,0,N,N
140,부산,00,001,906,710900,0,2,051- 508-4597,Y,8,17,0,N,N
226,금강휴게소,00,001,903,410500,0,3,043-732-3274,Y,0,0,0,N,N
229,북천안,00,001,903,410100,0,2,041-562-2504,Y,5,10,0,N,N
286,통도사휴게소,00,001,906,710900,0,1,055-382-6207,Y,2,2,0,N,N
301,서울(특),00,001,901,210300,0,0,02-237-0962/3,N,6,17,7,N,Y
303,수원(특),00,001,901,210300,0,0,0331-283-2185,N,2,4,2,N,Y
305,기흥(특),00,001,901,210300,0,0,0331-283-2269,N,1,2,1,N,Y
306,오산(특),00,001,901,210300,0,0,0339-374-2277,N,2,3,1,N,Y
307,안성(특),00,001,903,410100,0,0,0333-656-1129,N,2,4,0,N,Y
308,천안(특),00,001,903,410100,0,0,0417-61-0027,N,3,7,0,N,Y
310,목천(특),00,001,903,410100,0,0,0417-64-2093,N,1,2,0,N,Y
311,청주(특),00,001,903,410100,0,0,0431-60-2281,N,2,4,0,N,Y
312,남청주(특),00,001,903,410200,0,0,0431-60-6678,N,1,2,0,N,Y
313,신탄진(특),00,001,903,410200,0,0,042-932-2351,N,2,3,0,N,Y
315,대전(특),00,001,903,410200,0,0,042-623-0775,N,2,5,1,N,Y
316,옥천(특),00,001,903,410500,0,0,0475-33-2540,N,1,2,1,N,Y
317,금강(특),00,001,903,410500,0,0,0475-32-3292,N,1,1,0,N,Y
318,영동(특),00,001,903,410500,0,0,0414-42-9094,N,1,1,0,N,Y
320,황간(특),00,001,903,410500,0,0,0414-42-4106,N,1,1,0,N,Y
321,추풍령(특),00,001,905,610100,0,0,0547-30-0517,N,1,1,0,N,Y
322,김천(특),00,001,905,610100,0,0,0547-434-6742,N,1,2,1,N,Y
323,구미(특),00,001,905,610100,0,0,0546-461-1354,N,2,3,0,N,Y
325,남구미(특),00,001,905,610100,0,0,0546-464-1354,N,1,2,1,N,Y
326,왜관(특),00,001,905,610100,0,2,0545-973-2205,N,2,3,0,N,Y
327,서대구(특),00,001,905,610400,0,0,053-552-7924,N,3,6,0,N,Y
329,북대구(특),00,001,905,610200,0,0,053-251-6114,N,2,5,1,N,Y
330,동김천(특),00,001,905,610100,0,0,054-432-8801,N,3,4,0,N,Y
331,경산(특),00,001,905,610200,0,0,0541-52-9152,N,3,3,0,N,Y
332,영천(특),00,001,905,610200,0,0,0563-35-8752,N,1,2,0,N,Y
333,건천(특),00,001,905,610200,0,0,0561-751-3715,N,1,2,0,N,Y
335,경주(특),00,001,905,610200,0,0,0561-749-3742,N,3,6,1,N,Y
337,통도사(특),00,001,906,710900,0,0,051-809-5301,N,1,2,1,N,Y
338,양산(특),00,001,906,710900,0,0,051-809-5301,N,1,3,1,N,Y
339,서울산(특),00,001,906,710900,0,0,0522-62-0209,N,3,6,2,N,Y
340,부산(특),00,001,906,710900,0,0,051-809-5301,N,3,6,3,N,Y
429,북천안(특),00,001,903,410100,0,0,041-562-2504,N,1,2,0,N,Y
486,통도사하이(특),00,001,906,710900,0,0,051-809-5301,N,1,3,1,N,Y
518,칠곡물류,00,001,905,610100,0,2,054-971-8807,Y,2,5,0,N,N
528,기흥동탄,00,001,901,210300,0,2,031-376-2504,Y,6,10,0,N,N
529,노포,00,001,906,710900,0,2,051-508-5821,Y,4,5,0,N,N
637,양산(경),00,001,906,710500,0,0,051-809-5301,Y,1,3,1,N,Y
638,노포(경),00,001,906,710500,0,0,,Y,0,0,0,N,Y
639,부산(경),00,001,906,710500,0,0,051-809-5301,Y,3,6,3,N,Y
718,칠곡물류(특),00,001,905,610100,0,0,0545-973-2205,N,2,3,0,N,Y
722,활천,00,001,906,710900,0,2,052-262-8833,Y,3,3,0,N,N
728,기흥이설(특),00,001,901,210300,0,0,0331-283-2269,N,1,2,1,N,Y
733,옥산,00,001,903,410100,0,1,043-232-0554,Y,2,5,0,N,N
797,개발운영,00,001,905,610100,0,2,,Y,2,4,0,N,N
922,활천(특),00,001,906,710900,0,2,,N,0,0,0,N,Y
933,옥산(특),00,001,903,410100, , ,,N,0,0,0,N,Y
995,연계공통,00,001,   ,      ,0,0,,Y,0,0,0,N,Y
996,연계할인,00,001,   ,      ,0, ,,Y,0,0,0,N,Y
013,순천만,00,010,904,520100,1,2,061-746-9923,Y,1,1,0,N,N
045,지수(개),00,010,906,710400,1,0,0591-54-5406,N,0,3,2,N,N
046,마산(개),00,010,906,710300,1,0,0551-296-0041,N,4,4,4,N,N
092,내서,00,010,906,710200,1,2,055- 231-2590,Y,2,10,0,N,N
142,군북,00,010,906,710400,0,2,055-585-5400,Y,3,10,0,N,N
143,장지,00,010,906,710400,0,2,055-585-7767,Y,1,10,0,N,N
144,함안,00,010,906,710400,0,2,055-585-7758,Y,3,10,0,N,N
146,동창원,00,010,906,710300,0,2,055-252-2320,Y,4,10,0,N,N
147,진례,00,010,906,710300,0,2,055-345-6810,Y,3,10,0,N,N
148,서김해,00,010,906,710500,0,2,055-329-4980,Y,4,10,0,N,N
149,동김해,00,010,906,710500,0,2,055-337-2504,Y,5,10,0,N,N
150,북부산,00,010,906,710500,0,2,051-971-0252,Y,7,16,2,N,N
270,서순천,00,010,904,510300,0,2,061-751-5363,Y,2,3,0,N,N
271,순천,00,010,904,510300,0,2,061-755-7230,Y,3,7,0,N,N
272,광양,00,010,904,510300,0,2,061-762-0368,Y,3,7,0,N,N
273,동광양,00,010,904,510300,0,2,061-793-7192,Y,3,6,0,N,N
275,옥곡,00,010,904,510300,0,2,061-772-7712,Y,2,3,0,N,N
276,진월,00,010,904,510300,0,2,061-772-2167,Y,2,3,0,N,N
277,하동,00,010,906,710400,0,2,055-884-7471,Y,2,4,0,N,N
278,진교,00,010,906,710400,0,2,055-884-7481,Y,2,4,0,N,N
279,곤양,00,010,906,710400,0,2,055-853-0205,Y,2,3,0,N,N
290,축동,00,010,906,710400,0,2,055-854-7619,Y,1,2,0,N,N
291,사천,00,010,906,710400,0,2,055-854-7644,Y,3,5,0,N,N
292,진주,00,010,906,710400,0,2,055-758-7641,Y,3,6,0,N,N
293,문산,00,010,906,710400,0,2,055-761-7652,Y,2,3,0,N,N
294,북창원,00,010,906,710300,0,2,055-299-7454,Y,2,10,0,N,N
295,진성,00,010,906,710400,0,2,055-758-7642,Y,2,3,0,N,N
296,지수,00,010,906,710400,0,2,055-758-7643,Y,1,2,0,N,N
342,군북(특),00,010,906,710400,0,0,,N,0,0,0,N,Y
343,장지(특),00,010,906,710400,0,0,,N,0,0,0,N,Y
344,함안(특),00,010,906,710400,0,0,,N,0,0,0,N,Y
346,동창원(특),00,010,906,710300,0,0,,N,0,0,0,N,Y
347,진례(특),00,010,906,710300,0,0,,N,0,0,0,N,Y
348,서김해(특),00,010,906,710500,0,0,,N,0,0,0,N,Y
349,동김해(특),00,010,906,710500,0,0,,N,0,0,0,N,Y
350,북부산(특),00,010,906,710500,0,0,,Y,0,0,0,N,Y
470,서순천(특),00,010,904,510300,0,0,0661-52-7474,N,2,4,0,N,Y
471,순천(특),00,010,904,510300,0,0,0661-52-7474,N,2,4,0,N,Y
472,광양(특),00,010,904,510300,0,0,0661-52-7474,N,2,4,0,N,Y
473,동광양(특),00,010,904,510300,0,0,0661-52-7474,N,2,4,0,N,Y
475,옥곡(특),00,010,904,510300,0,0,0661-52-7474,N,2,4,0,N,Y
476,진월(특),00,010,904,510300,0,0,0661-52-7474,N,2,4,0,N,Y
477,하동(특),00,010,906,710400,0,0,0661-52-7474,N,2,4,0,N,Y
478,진교(특),00,010,906,710400,0,0,0661-52-7474,N,2,4,0,N,Y
479,곤양(특),00,010,906,710400,0,0,0661-52-7474,N,2,4,0,N,Y
490,축동(특),00,010,906,710400,0,0,0661-52-7474,N,2,4,0,N,Y
491,사천(특),00,010,906,710400,0,0,0661-52-7474,N,2,4,0,N,Y
492,진주(특),00,010,906,710400,0,0,0661-52-7474,N,2,4,0,N,Y
493,문산(특),00,010,906,710400,0,0,0661-52-7474,N,2,4,0,N,Y
494,북창원(특),00,010,906,710300,0,0,,N,0,0,0,N,Y
495,진성(특),00,010,906,710400,0,0,0661-52-7474,N,2,4,0,N,Y
496,지수(특),00,010,906,710400,0,0,0661-52-7474,N,2,4,0,N,Y
970,동창원(경),00,010,906,710300,0,2,055- 252-2320,Y,4,10,0,N,Y
971,진례(경),00,010,906,710300,0,2,055- 345-6810,Y,3,10,0,N,Y
972,서김해(경),00,010,906,710500,0,2,055- 329-4980,Y,4,10,0,N,Y
973,동김해(경),00,010,906,710500,0,2,055- 337-2504,Y,5,10,0,N,Y
974,북부산(경),00,010,906,710500,0,2,051- 971-0252,Y,7,16,2,N,Y
981,서영암,00,010,904,520100,0,2,061-473-9390,Y,3,3,0,N,N
982,강진무위사,00,010,904,520100,0,2,061-434-9912,Y,3,3,0,N,N
983,장흥,00,010,904,520100,0,2,061-864-9202,Y,3,3,0,N,N
984,보성,00,010,904,520100,0,2,061-852-0631,Y,3,3,0,N,N
985,벌교,00,010,904,520100,0,2,061-858-7558,Y,3,7,0,N,N
986,고흥,00,010,904,520100,0,2,061-835-8477,Y,3,3,0,N,N
987,남순천,00,010,904,520100,0,2,061-746-9596,Y,3,7,0,N,N
012,서영암(개),00,012,904,520100,1,2,061-473-9390,Y,1,1,0,N,N
072,함양(개),00,012,905,610300,1,0,02-237-0962/3,N,1,1,0,N,N
073,남원(개),00,012,904,510400,1,0,,N,0,0,0,N,N
224,함양,00,012,905,610300,0,2,055-962-3646,Y,1,2,1,N,N
241,동고령,00,012,905,610300,0,2,054-954-0529,Y,4,7,0,N,N
242,고령,00,012,905,610300,0,2,054-955-3806,Y,2,3,0,N,N
243,해인사,00,012,905,610300,0,2,055-932-7056,Y,1,10,0,N,N
247,남원,00,012,904,510400,0,2,063- 626-4561,Y,2,10,0,N,N
248,순창,00,012,904,510400,0,2,063-653-7747,Y,2,4,0,N,N
249,담양,00,012,904,510200,0,2,061-383-6467,Y,3,4,0,N,N
264,동남원,00,012,904,510400,0,2,063- 626-3483,Y,1,10,0,N,N
269,지리산,00,012,904,510400,0,2,063- 636-0127,Y,1,10,0,N,N
274,가조,00,012,905,610300,0,2,055-943-2774,Y,3,10,2,N,N
280,거창,00,012,905,610300,0,2,055-944-9893,Y,3,10,0,N,N
424,함양(특),00,012,905,610300,0,0,,N,0,0,0,N,Y
441,동고령(특),00,012,905,610300,0,0,053-251-6114,N,1,2,0,N,Y
442,고령(특),00,012,905,610300,0,0,053-251-6114,N,1,2,0,N,Y
443,해인사(특),00,012,905,610300,0,0,0543-954-2701,N,2,3,0,N,Y
448,순창(특),00,012,904,510400,0,0,0674-52-0721,N,2,4,0,N,Y
449,담양(특),00,012,904,510200,0,0,0684-83-6211,N,2,4,0,N,Y
464,남장수(특),00,012,904,510400,0,0,,N,0,0,0,N,Y
469,지리산(특),00,012,904,510400,0,0,,N,0,0,0,N,Y
474,가조(특),00,012,905,610300,0,0,,N,0,0,0,N,Y
480,거창(특),00,012,905,610300,0,0,,N,0,0,0,N,Y
567,남고창,00,014,904,510700,0,2,063-561-5204,Y,2,3,0,N,N
568,장성물류,00,014,904,510700,0,2,061-393-7215,Y,3,3,0,N,N
569,북광주,00,014,904,510700,0,2,061-381-5377,Y,5,9,0,N,N
769,북광주(특),00,014,904,510700,0,0,061-393-7215,6,N,3,3,0,N,Y
054,서서울(개),00,015,901,210800,1,0,0345-83-9661,N,8,8,0,N,N
056,일로,00,015,904,510500,1,2,061- 282-8842,Y,1,1,0,N,N
057,서천(개),00,015,903,410800,1,0,0000-000-0000,N,8,8,0,N,N
058,군산(개),00,015,927,810200,1,0,,N,8,8,0,N,N
059,북군산(개),00,015,927,810200,1,0, 063-453-8804,N,2,0,0,N,N
227,군산,00,015,927,810500,0,2,063- 453-8804,Y,2,10,0,N,N
228,동군산,00,015,927,810200,0,2,063-451-1237,Y,2,5,0,N,N
234,서천,00,015,927,810500,0,2,041-953-9231,Y,2,10,0,N,N
253,서서울,00,015,901,210800,0,2,031-486-7158,Y,12,30,5,N,N
257,홍성,00,015,903,410700,0,2,041- 631-2504,Y,3,10,0,N,N
258,광천,00,015,927,810500,0,2,041-641-2504,Y,2,10,0,N,N
259,대천,00,015,927,810500,0,2,041-936-2534,Y,3,10,0,N,N
260,춘장대,00,015,927,810500,0,2,041-952-2507,Y,1,10,0,N,N
281,매송,00,015,901,210700,0,2,031-295-1924,Y,3,9,0,N,N
282,비봉,00,015,901,210700,0,2,031-356-6563,Y,3,5,0,N,N
283,발안,00,015,901,210700,0,2,031-353-5187,Y,3,5,0,N,N
285,서평택,00,015,901,210700,0,2,031-682-5956,Y,4,8,0,N,N
287,송악,00,015,903,410700,0,2,041-357-0878,Y,3,6,0,N,N
288,당진,00,015,903,410700,0,2,041-356-6144,Y,4,8,0,N,N
298,서산,00,015,903,410700,0,2,041-663-2509,Y,2,10,0,N,N
299,해미,00,015,903,410700,0,2,041-688-2594,Y,2,10,0,N,N
427,군산(특),00,015,927,810500,0,0,,N,0,0,0,N,Y
428,동군산(특),00,015,927,810200,0,0,,N,0,0,0,N,Y
434,서천(특),00,015,927,810500,0,0,,N,0,0,0,N,Y
453,서서울(특),00,015,901,210800,0,0,0334-73-6583,N,2,4,0,N,Y
457,홍성(특),00,015,903,410700,0,0,,N,0,0,0,N,Y
458,광천(특),00,015,927,810500,0,0,,N,0,0,0,N,Y
459,대천(특),00,015,927,810500,0,0,,N,0,0,0,N,Y
460,춘장대(특),00,015,927,810500,0,0,,N,0,0,0,N,Y
481,매송(특),00,015,901,210700,0,0,0345-83-9661,N,4,9,0,N,Y
482,비봉(특),00,015,901,210700,0,0,0345-83-9661,N,2,3,0,N,Y
483,발안(특),00,015,901,210700,0,0,0345-83-9661,N,2,3,0,N,Y
485,서평택(특),00,015,901,210700,0,0,0345-83-9661,N,2,4,0,N,Y
487,송악(특),00,015,903,410700,0,0,0345-83-9661,N,2,4,0,N,Y
488,당진(특),00,015,903,410700,0,0,0345-8309661,N,2,4,0,N,Y
498,서산(특),00,015,903,410700,0,0,,N,0,0,0,N,Y
499,해미(특),00,015,903,410700,0,0,,N,0,0,0,N,Y
501,서김제,00,015,927,810200,0,2,063-542-8805,Y,1,10,0,N,N
502,부안,00,015,927,810200,0,2,063- 584-2504,Y,1,10,0,N,N
503,줄포,00,015,927,810200,0,2,063- 584-8898,Y,1,10,0,N,N
504,선운산,00,015,927,810200,0,2,063-564-8807,Y,1,10,0,N,N
505,고창,00,015,927,810200,0,2,063- 564-8840,Y,1,10,0,N,N
506,영광,00,015,904,510500,0,2,061- 351-4295,Y,1,10,0,N,N
507,함평,00,015,904,510500,0,2,061- 323-0540,Y,1,10,0,N,N
508,무안,00,015,904,510500,0,2,061- 454-0434,Y,2,10,0,N,N
509,목포,00,015,904,510500,0,2,061- 282-8842,Y,3,10,0,N,N
511,무창포,00,015,927,810500,0,2,041-934-1537,Y,1,10,0,N,N
709,목포(특),00,015,904,510500,0,0,,N,0,0,0,N,Y
711,무창포(특),00,015,927,810500,0,0,,N,0,0,0,N,Y
732,행담도,00,015,903,410700,0,3,041-357-0878,Y,2,5,0,N,N
932,행담도(특),00,015,903,410700,0,0,0345-83-9661,N,2,4,0,N,Y
141,울산(구),00,016,906,710100,0,2,052-254-8800,N,7,14,0,N,N
341,울산(특),00,016,906,710100,0,0,0522-64-1650,N,3,5,0,N,Y
641,울산,08,016,915,900800,0,2,052-254-8800,Y,7,12,0,Y,N
841,울산(특),08,016,915,900800,0,0,,N,0,0,0,Y,Y
676,향남,11,017,919,901100,0,2,070-8031-4228,Y,0,0,0,N,N
677,북평택,11,017,919,901100,0,2,070-8031-4229,Y,0,0,0,N,N
876,향남(특),11,017,919,901100,0,2,,N,0,0,0,N,Y
877,북평택(특),11,017,919,901100,0,2,,N,0,0,0,N,Y
169,장수,00,020,927,810700,0,2,063- 353-2504,Y,2,10,0,N,N
230,팔공산,00,020,905,610700,0,2,053- 986-8877,Y,5,10,0,N,N
369,장수(특),00,020,927,810700,0,0,,N,0,0,0,N,Y
430,팔공산(특),00,020,905,610700,0,0,,N,0,0,0,N,Y
524,청통와촌,00,020,905,610700,0,2,054-333-8008,Y,1,10,0,N,N
525,북영천,00,020,905,610700,0,2,054-336-9600,Y,2,10,0,N,N
526,서포항,00,020,905,610700,0,2,054-242-9500,Y,2,10,0,N,N
527,포항,00,020,905,610700,0,2,054-278-6446,Y,4,10,0,N,N
544,완주,00,020,927,810400,0,2,063-241-0789,Y,4,6,0,N,N
545,소양,00,020,927,810700,0,2,063-243-3603,Y,3,3,0,N,N
546,진안,00,020,927,810700,0,2,063-433-8005,Y,3,3,0,N,N
724,청통와촌(특),00,020,905,610700,0,0,,N,0,0,0,N,Y
725,임고,00,020,905,610700,0,1,054-336-9600,Y,2,10,0,N,N
726,서포항(특),00,020,905,610700,0,0,,N,0,0,0,N,Y
727,포항(특),00,020,905,610700,0,0,,N,0,0,0,N,Y
744,완주(특),00,020,927,810400,0,0,,N,0,0,0,N,Y
745,소양(특),00,020,927,810700,0,0,,N,0,0,0,N,Y
155,논산,00,025,927,810400,0,2,041- 742-4171,Y,2,5,0,N,N
156,익산,00,025,927,810400,0,2,063-263-6445,Y,3,5,0,N,N
157,삼례,00,025,927,810100,0,2,063- 291-2626,Y,1,2,0,N,N
158,전주,00,025,927,810100,0,2,063-212-9772,Y,3,7,0,N,N
159,서전주,00,025,927,810100,0,2,063-221-1085,Y,2,2,0,N,N
160,김제,00,025,927,810100,0,2,063- 546-3782,Y,2,2,0,N,N
161,금산사,00,025,927,810100,0,2,063-543-4425,Y,1,2,0,N,N
162,태인,00,025,927,810100,0,2,063-534-4276,Y,1,2,0,N,N
163,정읍,00,025,927,810100,0,2,063-532-1125,Y,2,5,0,N,N
165,백양사,00,025,904,510200,0,2,061-392-9194,Y,2,4,0,N,N
166,장성,00,025,904,510200,0,2,061-392-5851,Y,2,3,0,N,N
167,광주,00,025,904,510200,0,2,061-392-9772,Y,4,14,0,N,N
261,동광주,00,025,904,510200,0,2,062- 266-7280,Y,8,15,0,N,N
262,창평,00,025,904,510200,0,2,061-381-5438,Y,1,3,0,N,N
263,옥과,00,025,904,510700,0,2,061-363-1381,Y,2,2,0,N,N
265,곡성,00,025,904,510700,0,2,061-363-6818,Y,1,2,0,N,N
266,석곡,00,025,904,510300,0,2,061-362-8215,Y,1,2,0,N,N
267,주암송광사,00,025,904,510300,0,2,061-754-7789,Y,2,3,0,N,N
268,승주,00,025,904,510300,0,2,061-754-6371,Y,1,2,0,N,N
355,논산(특),00,025,927,810400,0,0,0461-742-2788,N,1,2,1,N,Y
356,익산(특),00,025,927,810400,0,0,0652-73-6445,N,2,3,0,N,Y
357,삼례(특),00,025,927,810100,0,0,0652-291-2626,N,1,1,0,N,Y
358,전주(특),00,025,927,810100,0,0,0652-212-9772,N,2,4,0,N,Y
359,서전주(특),00,025,927,810100,0,0,0652-291-2626,N,1,1,0,N,Y
360,김제(특),00,025,927,810100,0,0,0658-546-3782,N,1,1,0,N,Y
361,금산사(특),00,025,927,810100,0,0,0658-43-4425,N,1,1,0,N,Y
362,태인(특),00,025,927,810100,0,0,0681-34-4276,N,1,1,0,N,Y
363,정읍(특),00,025,927,810100,0,0,0681-32-1125,N,2,3,0,N,Y
365,백양사(특),00,025,904,510200,0,0,0685-92-9194,N,1,1,0,N,Y
366,장성(특),00,025,904,510200,0,0,0685-92-5851,N,1,2,0,N,Y
367,광주(특),00,025,904,510200,0,0,062-522-0084,N,3,7,0,N,Y
461,동광주(특),00,025,904,510200,0,0,062-228-4611,N,4,6,0,N,Y
462,창평(특),00,025,904,510200,0,0,062-228-4611,N,1,2,0,N,Y
463,옥과(특),00,025,904,510700,0,0,062-228-4611,N,1,2,0,N,Y
465,곡성(특),00,025,904,510700,0,0,062-228-4611,N,1,2,0,N,Y
466,석곡(특),00,025,904,510300,0,0,0661-52-7474,N,1,2,0,N,Y
467,송광사(특),00,025,904,510300,0,0,0661-52-7474,N,1,2,0,N,Y
